time,[0],[1],[2],[3],[4],[5],[6],[7]
226,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
227,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
228,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
229,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
230,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
231,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
232,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
233,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
234,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
235,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
236,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
237,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
238,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
239,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
240,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
241,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
242,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
243,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
244,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
245,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
246,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
247,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
248,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
249,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
250,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
251,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
252,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
253,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
254,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
255,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
256,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
257,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
258,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
259,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
260,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
261,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
262,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
263,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
264,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
265,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
266,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
267,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
268,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
269,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
270,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
271,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
272,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
273,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
274,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
275,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
276,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
277,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
278,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
279,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
280,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
281,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
282,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
283,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
284,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
285,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
286,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
287,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
288,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
289,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
290,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
291,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
292,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
293,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
294,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
295,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
296,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
297,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
298,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
299,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
300,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
301,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
302,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
303,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
304,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
305,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
306,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
307,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
308,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
309,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
310,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
